ï»¿"SL.","Customer Name","Address1","Address2","Mobile","Phone","Email","Balance"
"1","Benthum","D-749, kasi street","","56468748448","5344535","ben@email.com","$0.00"
"2","Ishake","Demo Address","","6889944849","5436453","Ishake@email.com","$30.00"
"3","jason","losly colony, 45 dana road","","8445954445","3543532","jason@email.com","-$500.00"
"4","Jhon","78-jalan alora.koturia","","8465185548","5338383","Jhon@email.com","-$20.00"
"5","Johan","J-785, justin Mansion","","6545465454","3453843","johan@email.com","$0.00"
"6","Juli","doly housing, 25 alan street","","45463546354","3543545","Juli@emailcom","$74.10"
"7","Lucy","86-loxily mansion","","454648948","5436543","lucy@email.com","$0.00"
"8","Mubin","Molly manstion. Loxly streeet","","54984548495","5435435","mubin@email.com","-$250.00"
"9","Osaki","o-856. jalan Road","","68451816485","5554344","osaki@email.com","-$500.00"
"10","Smith","test address","","2342345644","4535435","smith@email.com","$0.00"
